CommodityID,Month-year,Wholesale Price Index,Inflation (CPI) %
CD102,2017-12-01,143.7,1.48
CD51,2016-12-01,160.1,0.65
CD82,2014-09-01,132.2,0.07
CD30,2019-04-01,158.0,0.33
CD123,2012-05-01,156.0,0.41
CD78,2014-04-01,141.1,1.32
CD62,2017-07-01,105.5,0.15
CD2,2017-12-01,124.8,0.76
CD119,2012-04-01,128.2,0.25
CD95,2013-01-01,122.0,0.1
CD53,2016-07-01,107.8,0.16
CD103,2017-09-01,119.1,0.61
CD61,2018-08-01,112.8,1.67
CD78,2015-02-01,110.0,1.12
CD99,2020-12-01,116.0,0.47
CD137,2012-06-01,104.7,0.4
CD106,2014-10-01,110.8,1.83
CD91,2020-05-01,118.5,0.27
CD7,2019-08-01,152.0,0.97
CD57,2019-13-01,123.2,1.82
CD103,2017-08-01,117.6,1.15
CD10,2019-09-01,159.5,1.37
CD92,2019-11-01,98.6,0.44
CD115,2014-01-01,101.9,0.54
CD116,2012-09-01,128.0,1.17
CD7,2020-01-01,138.1,1.81
CD138,2019-10-01,92.8,0.72
CD100,2015-04-01,103.7,1.56
CD18,2018-05-01,160.0,1.59
CD10,2020-04-01,150.9,0.97
CD21,2019-11-01,150.0,0.51
CD25,2012-05-01,141.6,1.34
CD86,2018-02-01,133.7,0.92
CD58,2019-09-01,143.0,1.98
CD55,2014-04-01,139.8,1.35
CD67,2020-09-01,148.9,0.06
CD28,2017-08-01,108.8,0.29
CD87,2018-05-01,94.5,1.43
CD88,2014-08-01,157.7,1.19
CD12,2014-02-01,134.0,1.85
CD107,2018-05-01,97.9,0.75
CD114,2012-11-01,153.0,0.39
CD140,2020-01-01,99.0,1.11
CD28,2014-07-01,153.3,1.5
CD30,2018-07-01,156.7,0.62
CD104,2013-01-01,147.2,1.94
CD38,2020-01-01,128.6,0.89
CD17,2020-06-01,113.0,1.06
CD67,2017-10-01,131.7,0.5
CD142,2017-01-01,161.1,0.98
CD100,2019-11-01,97.8,1.77
CD77,2018-12-01,128.7,1.78
CD29,2012-09-01,161.7,1.48
CD33,2018-13-01,149.2,1.5
CD101,2017-11-01,116.9,1.52
CD20,2019-05-01,104.1,1.95
CD83,2015-04-01,94.6,0.91
CD73,2013-02-01,101.1,1.74
CD94,2019-09-01,136.1,1.32
CD126,2019-02-01,147.5,0.24
CD10,2016-02-01,156.0,1.79
CD107,2015-06-01,96.4,0.84
CD89,2017-12-01,123.6,1.48
CD131,2016-01-01,102.6,0.09
CD52,2017-08-01,108.8,1.24
CD29,2020-12-01,97.4,0.29
CD18,2016-11-01,152.7,1.66
CD48,2015-09-01,156.0,1.04
CD81,2016-10-01,144.5,0.54
CD97,2014-11-01,155.8,0.24
CD24,2017-02-01,139.5,1.48
CD24,2015-09-01,110.0,1.04
CD109,2016-06-01,125.4,0.7
CD79,2020-12-01,142.5,1.81
CD85,2019-13-01,114.2,0.29
CD18,2014-10-01,135.6,0.27
CD105,2017-13-01,98.6,1.51
CD74,2018-11-01,124.1,1.89
CD91,2017-10-01,153.1,1.96
CD101,2015-01-01,146.7,1.22
CD9,2016-09-01,120.9,1.45
CD136,2015-05-01,138.3,1.88
CD4,2017-01-01,114.6,0.55
CD31,2017-06-01,112.6,1.51
CD7,2014-10-01,119.6,0.36
CD11,2020-01-01,159.9,0.18
CD7,2014-01-01,92.7,1.08
CD65,2018-05-01,130.2,1.3
CD5,2018-08-01,113.5,0.36
CD135,2020-12-01,122.1,0.56
CD123,2018-12-01,150.4,0.87
CD45,2018-10-01,135.6,0.27
CD113,2013-01-01,117.2,1.61
CD22,2016-11-01,104.0,1.54
CD67,2016-09-01,91.6,1.82
CD71,2014-09-01,141.4,0.49
CD74,2019-12-01,140.3,1.74
CD40,2019-06-01,93.8,1.61
CD41,2016-09-01,152.7,0.21
CD27,2017-05-01,111.9,0.93
CD107,2015-06-01,99.8,1.4
CD20,2016-09-01,156.4,0.39
CD102,2019-07-01,139.9,0.08
CD100,2019-11-01,102.0,0.6
CD83,2018-01-01,149.1,1.91
CD120,2017-10-01,161.8,1.17
CD35,2012-06-01,134.6,0.37
CD84,2017-07-01,153.0,1.85
CD29,2017-06-01,137.6,0.63
CD93,2014-12-01,103.2,1.77
CD90,2017-09-01,101.6,1.64
CD142,2017-07-01,91.0,0.85
CD131,2020-10-01,154.4,1.49
CD97,2017-10-01,159.2,0.86
CD106,2020-09-01,156.3,1.97
CD8,2012-04-01,154.6,0.71
CD29,2020-06-01,123.8,1.47
CD74,2020-05-01,122.3,1.27
CD104,2018-04-01,154.4,0.2
CD1,2018-04-01,140.3,1.75
CD40,2018-08-01,159.4,1.15
CD110,2016-12-01,148.4,1.26
CD39,2016-11-01,157.8,0.42
CD3,2019-01-01,144.8,1.75
CD35,2014-06-01,138.9,1.18
CD14,2020-05-01,109.3,0.94
CD79,2016-12-01,160.9,0.06
CD83,2014-06-01,114.6,0.07
CD12,2015-10-01,113.4,1.87
CD120,2018-13-01,106.8,1.2
CD127,2017-08-01,140.2,0.71
CD132,2014-12-01,135.3,1.23
CD118,2020-08-01,158.5,1.05
CD31,2019-09-01,106.9,0.88
CD30,2018-08-01,154.6,1.32
CD47,2016-06-01,92.4,0.06
CD55,2017-01-01,152.4,1.24
CD56,2014-05-01,160.6,0.85
CD104,2014-01-01,111.6,0.4
CD120,2017-10-01,160.7,1.21
CD9,2020-06-01,133.5,0.48
CD89,2015-01-01,118.6,1.21
CD58,2015-05-01,152.7,1.16
CD130,2016-12-01,98.5,0.1
CD45,2014-09-01,144.6,0.82
CD35,2016-05-01,161.2,0.44
CD1,2018-13-01,111.4,0.88
CD21,2014-08-01,144.2,1.93
CD57,2020-12-01,112.6,0.07
CD116,2020-10-01,126.0,0.27
CD94,2020-07-01,106.2,1.4
CD42,2015-11-01,99.5,1.3
CD56,2016-13-01,93.5,1.25
CD72,2015-07-01,144.3,1.11
CD38,2012-10-01,127.9,1.59
CD32,2019-11-01,129.6,0.36
CD85,2019-06-01,102.5,0.38
CD99,2015-06-01,148.2,1.06
CD114,2018-02-01,152.4,1.19
CD83,2017-07-01,110.1,0.25
CD26,2014-13-01,153.5,1.88
CD15,2017-11-01,153.0,0.86
CD133,2019-12-01,97.1,0.93
CD22,2020-11-01,90.8,1.74
CD15,2014-01-01,121.7,0.88
CD14,2020-09-01,157.8,1.74
CD70,2012-05-01,155.0,1.5
CD24,2017-12-01,145.6,0.01
CD108,2014-05-01,120.2,0.18
CD64,2019-11-01,144.4,1.82
CD121,2019-11-01,137.3,1.69
CD59,2016-13-01,111.3,0.48
CD31,2018-07-01,122.5,0.1
CD114,2015-01-01,140.9,0.14
CD29,2017-09-01,101.8,0.37
CD90,2020-11-01,116.2,1.03
CD93,2018-09-01,136.1,1.4
CD14,2012-06-01,102.6,1.42
CD88,2020-08-01,114.9,1.18
CD115,2018-02-01,130.1,0.1
CD42,2020-04-01,100.5,0.86
CD120,2016-01-01,146.5,1.21
CD53,2017-04-01,104.7,1.22
CD110,2016-04-01,90.0,0.78
CD2,2020-10-01,101.5,1.52
CD97,2014-13-01,149.8,1.6
CD70,2020-05-01,159.4,0.54
CD59,2019-01-01,130.8,0.55
CD90,2014-10-01,135.7,0.72
CD75,2017-02-01,94.5,0.6
CD91,2018-05-01,114.1,1.29
CD134,2014-05-01,95.3,1.46
CD35,2019-05-01,104.0,0.76
CD24,2016-10-01,130.7,0.13
CD118,2012-04-01,129.6,1.92
CD125,2019-08-01,145.2,0.65
CD133,2020-08-01,124.9,1.01
CD31,2016-01-01,140.6,1.03
CD100,2012-08-01,149.4,0.08
CD61,2020-11-01,134.6,1.61
CD88,2017-11-01,131.3,1.56
CD47,2012-05-01,109.3,0.74
CD116,2020-10-01,102.9,0.06
CD6,2012-10-01,152.5,1.78
CD108,2015-13-01,161.2,0.28
CD9,2020-12-01,115.7,1.13
CD7,2018-09-01,136.1,0.67
CD33,2019-01-01,151.8,1.36
CD110,2012-06-01,92.4,1.19
CD68,2017-01-01,157.4,0.19
CD55,2018-06-01,105.1,0.84
CD71,2014-12-01,115.8,0.06
CD132,2019-05-01,135.0,1.55
CD82,2020-12-01,96.3,0.81
CD37,2012-04-01,133.6,0.85
CD14,2020-02-01,99.4,1.24
CD47,2015-13-01,95.9,1.11
CD13,2015-07-01,126.3,0.99
CD125,2015-06-01,126.7,0.06
CD75,2013-01-01,118.1,1.21
CD119,2012-13-01,100.8,1.96
CD123,2017-10-01,122.6,1.29
CD35,2020-01-01,125.6,0.36
CD33,2016-07-01,125.4,1.37
CD106,2015-07-01,158.9,0.87
CD120,2016-11-01,90.6,1.05
CD38,2019-04-01,111.7,0.69
CD93,2018-09-01,98.3,1.25
CD46,2017-06-01,132.5,0.57
CD28,2014-12-01,97.8,0.08
CD60,2020-10-01,121.7,1.93
CD90,2014-06-01,145.3,0.99
CD67,2018-08-01,119.2,0.37
CD11,2019-07-01,113.8,1.74
CD78,2018-06-01,139.3,1.59
CD61,2012-06-01,146.1,1.61
CD20,2015-07-01,123.5,0.19
CD5,2019-08-01,127.0,0.62
CD9,2012-08-01,116.9,0.34
CD125,2017-04-01,118.5,0.56
CD113,2014-13-01,99.2,1.36
CD63,2016-10-01,90.2,1.6
CD90,2020-01-01,106.8,1.17
CD1,2014-13-01,138.7,0.08
CD95,2017-04-01,121.6,1.42
CD116,2019-10-01,94.4,1.59
CD33,2016-07-01,97.1,1.05
CD51,2018-11-01,120.7,0.41
CD75,2018-10-01,94.5,1.15
CD66,2015-13-01,101.6,0.06
CD38,2012-08-01,101.8,0.9
CD78,2012-06-01,160.0,1.6
CD92,2017-08-01,93.7,1.89
CD52,2014-09-01,138.5,1.2
CD31,2020-07-01,118.0,1.43
CD2,2018-13-01,135.4,1.56
CD124,2019-05-01,130.7,1.09
CD126,2020-08-01,138.9,0.91
CD126,2019-09-01,147.9,1.43
CD68,2016-12-01,155.0,0.18
CD66,2016-07-01,92.8,1.1
CD69,2016-07-01,121.2,0.01
CD10,2012-13-01,101.4,1.2
CD80,2014-04-01,153.8,1.71
CD37,2014-10-01,138.0,0.84
CD133,2015-07-01,127.2,1.06
CD8,2017-09-01,98.4,0.41
CD113,2014-12-01,115.2,1.21
CD117,2012-08-01,131.6,0.54
CD111,2012-07-01,160.8,0.66
CD55,2018-04-01,156.4,0.46
CD84,2014-04-01,152.4,0.48
CD91,2015-02-01,140.8,1.57
CD93,2020-01-01,110.5,0.75
CD78,2014-12-01,157.7,0.42
CD98,2019-08-01,96.5,1.38
CD36,2018-09-01,155.5,0.87
CD43,2020-11-01,133.0,0.23
CD119,2016-13-01,129.8,0.69
CD125,2017-10-01,116.1,1.74
CD62,2017-01-01,142.7,0.93
CD92,2014-02-01,130.4,0.75
CD99,2017-04-01,113.9,1.47
CD124,2016-08-01,97.0,0.67
CD129,2019-04-01,132.9,0.35
CD51,2019-05-01,118.0,0.21
CD18,2014-09-01,131.5,0.09
CD19,2012-09-01,126.7,0.24
CD115,2020-06-01,146.5,0.1
CD126,2019-05-01,115.0,0.77
CD6,2014-07-01,122.0,0.72
CD115,2018-09-01,112.5,0.77
CD60,2019-07-01,133.6,1.45
CD93,2020-12-01,124.4,1.79
CD49,2020-11-01,95.9,1.4
CD91,2012-11-01,154.1,1.63
CD99,2014-06-01,144.3,1.86
CD14,2019-11-01,120.9,1.85
CD41,2014-07-01,119.1,1.07
CD37,2019-10-01,156.8,1.75
CD99,2020-10-01,105.1,1.06
CD27,2014-02-01,159.9,1.09
CD52,2012-07-01,100.9,0.63
CD63,2018-04-01,108.0,1.31
CD136,2020-01-01,134.9,0.74
CD12,2018-01-01,95.4,0.17
CD41,2015-09-01,114.4,1.58
CD77,2020-04-01,140.5,1.42
CD16,2017-05-01,151.5,0.18
CD110,2012-12-01,93.2,0.82
CD137,2018-13-01,125.2,0.01
CD102,2019-04-01,92.3,1.05
CD33,2012-06-01,153.2,1.13
CD62,2014-01-01,143.9,1.53
CD50,2014-09-01,114.2,0.34
CD36,2014-02-01,129.9,1.54
CD55,2017-08-01,161.4,0.09
CD21,2018-04-01,98.0,1.81
CD14,2017-13-01,155.7,0.95
CD26,2017-01-01,144.4,0.77
CD24,2012-06-01,143.6,0.9
CD41,2015-02-01,116.7,0.88
CD51,2016-01-01,159.7,0.2
CD107,2020-11-01,137.9,0.5
CD106,2020-04-01,145.1,1.05
CD106,2014-09-01,126.5,1.41
CD86,2012-13-01,99.4,0.62
CD65,2020-12-01,108.6,1.87
CD70,2017-09-01,154.5,0.39
CD133,2012-04-01,91.2,0.44
CD84,2020-12-01,112.2,1.85
CD52,2019-08-01,100.0,1.55
CD117,2019-08-01,128.0,0.32
CD119,2020-07-01,107.4,0.74
CD77,2012-08-01,156.8,1.52
CD93,2015-02-01,114.1,0.42
CD122,2019-01-01,127.2,1.12
CD68,2013-02-01,145.9,0.16
CD10,2020-04-01,125.9,0.39
CD135,2017-06-01,106.4,0.25
CD100,2014-08-01,141.3,1.67
CD26,2019-13-01,147.3,1.62
CD26,2015-10-01,141.8,1.39
CD74,2018-12-01,128.3,1.19
CD43,2012-05-01,98.1,1.73
CD18,2018-04-01,119.8,0.47
CD17,2015-08-01,113.8,1.7
CD87,2015-08-01,111.3,0.82
CD121,2014-09-01,157.0,0.58
CD97,2016-12-01,160.9,1.06
CD141,2017-10-01,159.9,1.9
CD18,2016-09-01,93.2,1.62
CD40,2016-06-01,161.3,0.05
CD20,2019-01-01,142.6,0.44
CD121,2017-04-01,152.9,0.31
CD83,2014-06-01,101.5,1.24
CD43,2020-12-01,133.2,1.35
CD130,2016-11-01,144.4,1.27
CD142,2018-05-01,135.2,1.92
CD71,2014-09-01,148.0,0.11
CD117,2019-01-01,133.9,1.89
CD4,2019-04-01,127.9,0.66
CD93,2020-02-01,99.9,1.4
CD44,2013-02-01,160.0,1.32
CD16,2015-05-01,148.1,1.62
CD35,2015-09-01,117.3,0.92
CD57,2012-08-01,127.3,1.9
CD54,2020-06-01,126.9,0.22
CD32,2019-09-01,99.7,0.22
CD17,2012-09-01,96.9,0.93
CD123,2016-08-01,135.4,1.45
CD99,2012-13-01,100.2,0.19
CD99,2012-07-01,124.4,1.81
CD10,2019-12-01,91.2,0.32
CD40,2020-06-01,128.2,1.6
CD118,2015-12-01,132.9,1.36
CD117,2015-11-01,124.6,1.27
CD69,2016-06-01,142.1,0.78
CD9,2020-01-01,90.4,0.2
CD108,2019-02-01,98.7,0.44
CD104,2012-10-01,94.5,0.57
CD100,2020-08-01,144.7,1.55
CD16,2016-07-01,154.8,1.72
CD42,2018-12-01,144.7,0.28
CD94,2014-04-01,111.4,0.33
CD114,2017-11-01,119.4,1.04
CD15,2019-02-01,110.7,1.65
CD19,2016-07-01,120.0,1.99
CD38,2019-13-01,114.5,1.85
CD42,2019-04-01,127.1,0.77
CD95,2014-06-01,135.6,1.44
CD65,2020-08-01,136.1,0.03
CD87,2016-12-01,123.7,0.39
CD37,2020-01-01,95.7,1.18
CD11,2020-04-01,111.2,1.88
CD69,2018-11-01,115.3,0.43
CD59,2018-09-01,114.7,1.1
CD68,2019-09-01,99.2,0.48
CD106,2020-10-01,106.5,1.43
CD53,2014-04-01,141.4,1.04
CD49,2019-11-01,137.0,1.06
CD113,2013-01-01,148.2,0.24
CD136,2012-11-01,93.8,0.46
CD103,2015-09-01,114.0,1.51
CD107,2016-02-01,117.1,0.63
CD124,2015-10-01,93.8,1.45
CD119,2020-12-01,137.0,0.31
CD53,2014-05-01,160.2,0.78
CD118,2014-10-01,144.5,0.33
CD56,2018-07-01,91.7,0.4
CD137,2015-08-01,120.7,1.54
CD96,2017-07-01,151.8,1.12
CD100,2018-11-01,143.8,0.92
CD65,2015-09-01,115.3,0.47
CD87,2015-06-01,152.8,0.31
CD7,2019-08-01,101.5,1.72
CD107,2018-12-01,101.2,0.97
CD70,2012-06-01,127.5,1.5
CD34,2012-13-01,145.0,0.79
CD52,2014-11-01,129.3,1.91
CD138,2016-04-01,115.8,0.75
CD27,2019-02-01,153.2,0.71
CD32,2016-10-01,124.4,1.72
CD18,2020-01-01,124.2,1.68
CD112,2014-09-01,123.5,1.69
CD100,2019-07-01,122.3,0.6
CD127,2020-02-01,121.8,1.07
CD29,2015-07-01,152.5,0.56
CD3,2020-11-01,97.4,1.62
CD101,2019-08-01,146.5,0.72
CD91,2018-09-01,104.9,1.17
CD45,2014-07-01,91.7,1.41
CD38,2014-02-01,147.4,0.55
CD5,2014-12-01,111.6,0.25
CD116,2020-04-01,147.1,1.65
CD20,2019-02-01,138.2,1.93
CD80,2017-12-01,130.0,1.1
CD19,2019-08-01,98.7,1.06
CD138,2012-11-01,124.7,1.66
CD126,2015-01-01,136.6,1.84
CD120,2017-11-01,161.0,0.41
CD110,2015-02-01,155.7,1.37
CD20,2018-09-01,120.3,1.33
CD105,2019-10-01,137.2,0.42
CD141,2015-12-01,144.1,1.49
CD54,2012-07-01,161.5,1.05
CD125,2012-08-01,147.2,0.35
CD18,2016-10-01,133.8,0.11
CD23,2013-02-01,145.2,1.64
CD31,2012-04-01,154.2,0.74
CD67,2017-06-01,122.1,0.28
CD53,2014-11-01,92.2,0.56
CD30,2019-09-01,139.2,1.39
CD52,2020-02-01,117.7,0.78
CD29,2014-12-01,107.5,0.4
CD62,2012-09-01,141.9,0.3
CD56,2016-09-01,111.3,1.8
CD118,2015-11-01,103.4,1.31
CD31,2015-11-01,142.4,1.48
CD62,2017-10-01,122.1,0.09
CD28,2017-07-01,106.2,0.21
CD90,2012-04-01,123.1,0.3
CD97,2015-13-01,139.3,1.23
CD8,2017-01-01,145.9,0.9
CD75,2017-05-01,139.3,1.57
CD134,2017-10-01,117.0,1.02
CD68,2016-06-01,146.5,0.19
CD16,2014-05-01,131.0,0.51
CD68,2014-04-01,111.2,0.46
CD31,2014-04-01,105.1,1.49
CD78,2012-09-01,95.5,1.18
CD34,2015-08-01,152.1,1.74
CD17,2012-04-01,158.6,1.24
CD64,2016-05-01,114.0,1.67
CD58,2012-09-01,91.3,0.61
CD140,2016-05-01,157.7,1.58
CD42,2014-05-01,124.7,1.47
CD52,2016-11-01,145.0,0.1
CD15,2020-01-01,138.5,1.47
CD130,2015-07-01,111.4,1.47
CD51,2014-04-01,111.7,0.5
CD104,2015-13-01,146.2,0.73
CD117,2018-11-01,125.1,1.55
CD101,2015-04-01,158.9,0.25
CD17,2020-08-01,113.9,1.8
CD61,2018-06-01,116.5,0.72
CD14,2020-12-01,102.3,0.22
CD20,2018-05-01,104.4,0.73
CD74,2016-13-01,97.7,0.93
CD67,2019-01-01,125.5,1.06
CD70,2016-05-01,121.0,1.49
CD72,2018-12-01,139.7,1.56
CD76,2012-12-01,141.2,1.77
CD141,2020-09-01,100.0,1.59
CD115,2013-01-01,103.4,0.59
CD29,2017-07-01,144.6,0.46
CD34,2015-09-01,147.1,1.2
CD78,2018-02-01,151.4,1.1
CD17,2019-12-01,105.8,0.16
CD65,2018-10-01,160.4,1.55
CD92,2016-04-01,133.6,0.06
CD51,2016-13-01,153.9,0.89
CD95,2015-06-01,103.7,1.46
CD16,2020-04-01,96.4,1.24
CD83,2020-04-01,155.4,1.2
CD27,2020-11-01,156.3,0.98
CD77,2017-11-01,100.8,0.18
CD103,2016-01-01,159.7,1.82
CD72,2019-05-01,148.3,0.54
CD46,2012-07-01,116.3,1.85
CD95,2020-08-01,109.7,1.54
CD5,2016-01-01,92.5,0.61
CD100,2014-05-01,157.8,1.48
CD26,2014-09-01,120.0,0.44
CD92,2015-12-01,137.8,0.45
CD57,2015-05-01,95.1,1.72
CD46,2015-05-01,98.5,0.66
CD139,2016-02-01,138.2,1.75
CD92,2017-08-01,93.4,1.48
CD100,2012-06-01,138.6,0.06
CD69,2014-13-01,106.6,1.52
CD134,2015-11-01,138.2,1.6
CD58,2019-09-01,155.4,1.9
CD121,2014-08-01,122.0,0.1
CD55,2014-09-01,135.2,0.79
CD91,2020-02-01,100.0,1.27
CD100,2020-08-01,152.9,1.03
CD38,2017-06-01,137.8,0.85
CD21,2015-01-01,161.0,1.98
CD108,2016-02-01,153.5,1.35
CD92,2018-09-01,131.8,1.77
CD27,2012-11-01,156.1,1.71
CD32,2016-05-01,120.9,1.33
CD59,2016-10-01,101.8,1.27
CD114,2015-06-01,128.6,1.8
CD97,2020-05-01,117.4,1.61
CD3,2017-11-01,118.9,1.7
CD13,2017-09-01,135.1,1.88
CD46,2016-06-01,125.9,0.18
CD53,2015-07-01,137.3,0.22
CD93,2014-07-01,124.2,0.66
CD46,2012-09-01,118.2,1.44
CD25,2020-01-01,154.7,0.93
CD57,2019-10-01,150.8,1.88
CD62,2015-06-01,122.3,0.81
CD49,2015-11-01,142.2,0.69
CD69,2018-09-01,103.8,1.81
CD95,2017-13-01,94.6,0.7
CD115,2018-02-01,145.6,1.09
CD46,2019-12-01,124.9,0.94
CD16,2019-04-01,117.9,1.18
CD137,2018-06-01,111.6,0.92
CD74,2012-11-01,120.2,1.61
CD129,2017-13-01,146.3,1.46
CD17,2015-12-01,142.9,0.61
CD132,2012-05-01,149.3,0.03
CD106,2014-07-01,122.2,0.03
CD67,2018-13-01,116.2,0.47
CD102,2017-13-01,154.8,0.99
CD68,2020-07-01,122.2,0.91
CD7,2017-11-01,139.6,2.0
CD42,2015-04-01,92.5,0.44
CD37,2017-04-01,143.9,0.41
CD51,2016-01-01,114.3,1.67
CD102,2014-10-01,104.9,0.12
CD19,2017-06-01,130.7,1.55
CD24,2020-12-01,135.9,1.6
CD124,2015-09-01,98.5,0.58
CD103,2014-09-01,126.2,1.56
CD129,2015-06-01,91.5,1.02
CD57,2014-12-01,93.8,1.59
CD19,2016-07-01,157.3,1.01
CD76,2013-01-01,95.3,0.71
CD6,2015-05-01,147.5,1.21
CD121,2020-04-01,112.7,1.85
CD35,2017-08-01,139.7,1.16
CD20,2015-05-01,95.9,1.98
CD26,2015-12-01,90.4,0.59
CD68,2019-07-01,135.1,0.95
CD80,2018-13-01,93.4,1.9
CD141,2015-12-01,103.7,0.2
CD64,2016-08-01,147.3,0.36
CD108,2017-09-01,151.8,1.61
CD15,2014-07-01,100.7,0.77
CD116,2015-11-01,141.3,0.88
CD3,2017-12-01,112.9,1.13
CD81,2016-01-01,158.6,1.01
CD136,2020-05-01,159.6,1.65
CD100,2017-05-01,113.1,1.27
CD37,2019-13-01,152.9,1.89
CD39,2019-02-01,130.4,1.14
CD103,2017-11-01,154.0,0.18
CD139,2015-05-01,115.1,1.05
CD91,2019-10-01,158.1,0.71
CD10,2019-05-01,112.9,1.03
CD86,2014-12-01,130.7,1.73
CD115,2015-05-01,120.7,0.62
CD60,2020-09-01,144.3,1.93
CD82,2012-06-01,143.8,1.86
CD54,2014-09-01,153.0,2.0
CD80,2018-13-01,110.8,1.02
CD85,2015-02-01,98.1,1.84
CD100,2018-04-01,118.0,0.19
CD72,2017-11-01,151.6,0.42
CD78,2018-06-01,138.0,1.45
CD39,2012-13-01,110.4,0.75
CD71,2015-11-01,104.7,1.27
CD77,2019-07-01,128.7,0.13
CD15,2017-04-01,160.1,0.91
CD84,2017-13-01,158.1,1.8
CD58,2012-08-01,124.8,0.16
CD135,2017-05-01,119.5,0.11
CD32,2015-01-01,133.8,1.25
CD104,2012-10-01,107.7,0.01
CD133,2020-01-01,110.0,1.09
CD68,2015-08-01,128.1,0.98
CD44,2014-11-01,107.2,0.03
CD52,2014-12-01,94.3,0.84
CD64,2014-12-01,142.0,1.53
CD92,2018-04-01,131.8,1.68
CD96,2016-11-01,132.9,0.88
CD70,2015-01-01,126.5,0.45
CD10,2014-06-01,145.4,1.49
CD42,2017-10-01,92.9,0.36
CD37,2019-13-01,132.4,1.74
CD42,2018-07-01,143.1,0.37
CD132,2017-06-01,118.7,1.36
CD108,2020-05-01,121.9,1.83
CD107,2015-05-01,115.1,0.41
CD59,2018-10-01,132.6,0.61
CD14,2015-02-01,124.4,1.98
CD52,2018-06-01,147.9,1.14
CD120,2015-01-01,127.6,1.66
CD47,2019-08-01,160.2,0.95
CD106,2012-07-01,160.6,1.02
CD94,2012-07-01,154.0,1.68
CD21,2019-04-01,161.5,0.33
CD37,2016-01-01,112.9,1.95
CD109,2016-13-01,119.6,1.88
CD129,2018-05-01,144.1,0.56
CD32,2016-10-01,105.5,0.61
CD33,2012-07-01,150.4,1.04
CD12,2012-07-01,154.8,1.89
CD27,2019-09-01,159.5,0.74
CD46,2015-06-01,133.8,1.12
CD7,2016-12-01,109.7,0.59
CD49,2012-09-01,115.5,0.8
CD60,2015-02-01,136.7,1.82
CD82,2018-09-01,131.3,0.47
CD46,2017-13-01,134.8,1.7
CD72,2019-02-01,123.2,1.31
CD38,2017-06-01,109.0,1.84
CD91,2016-02-01,107.3,1.85
CD100,2016-08-01,103.9,1.22
CD107,2017-10-01,130.0,1.95
CD109,2020-06-01,154.7,0.11
CD58,2017-13-01,107.9,0.69
CD136,2019-11-01,93.3,1.65
CD22,2014-08-01,150.4,0.84
CD20,2016-05-01,158.2,1.32
CD49,2019-02-01,158.0,1.51
CD27,2019-09-01,159.8,0.38
CD85,2016-08-01,128.6,1.27
CD50,2014-10-01,116.7,1.09
CD20,2016-10-01,99.0,1.68
CD98,2020-04-01,99.6,1.66
CD96,2018-06-01,90.8,0.47
CD117,2012-05-01,148.8,0.58
CD11,2016-01-01,102.1,1.62
CD53,2014-05-01,153.6,0.55
CD99,2015-05-01,123.9,0.98
CD140,2019-01-01,90.5,1.25
CD71,2014-08-01,104.6,0.28
CD80,2014-06-01,126.0,1.03
CD72,2014-07-01,98.7,0.68
CD126,2017-06-01,137.9,1.7
CD96,2020-10-01,140.7,1.47
CD54,2016-12-01,100.6,1.77
CD88,2019-12-01,90.7,1.42
CD12,2015-01-01,95.1,1.5
CD67,2015-06-01,95.0,1.39
CD64,2017-08-01,145.3,1.19
CD137,2016-04-01,118.3,0.94
CD100,2016-10-01,109.8,1.94
CD5,2012-09-01,137.3,1.86
CD95,2015-08-01,150.8,0.07
CD97,2018-12-01,121.0,0.3
CD126,2019-01-01,94.1,0.82
CD91,2014-02-01,111.2,0.41
CD14,2017-06-01,106.1,0.79
CD9,2015-02-01,110.5,1.05
CD38,2014-08-01,141.3,0.57
CD92,2017-13-01,130.9,1.91
CD56,2014-05-01,150.6,0.66
CD31,2018-13-01,142.8,0.97
CD112,2016-02-01,126.2,0.25
CD123,2015-11-01,151.8,0.51
CD125,2016-12-01,114.1,0.24
CD30,2017-10-01,138.8,1.68
CD55,2012-06-01,135.3,1.48
CD15,2017-06-01,108.9,1.05
CD93,2016-02-01,111.5,0.57
CD104,2014-13-01,147.6,0.91
CD31,2016-01-01,91.0,0.18
CD35,2019-12-01,154.1,0.07
CD35,2017-06-01,129.1,1.45
CD51,2020-12-01,111.8,0.25
CD66,2019-04-01,127.4,0.49
CD85,2019-07-01,141.8,0.13
CD18,2018-06-01,154.7,1.24
CD6,2018-11-01,147.1,1.49
CD63,2020-02-01,153.8,1.56
CD46,2016-08-01,137.4,0.65
CD56,2019-06-01,93.2,1.86
CD60,2014-08-01,111.5,1.29
CD17,2020-07-01,112.6,1.24
CD97,2016-04-01,127.6,1.45
CD82,2019-13-01,156.5,0.49
CD83,2018-07-01,151.7,0.08
CD128,2017-08-01,103.8,0.8
CD108,2020-12-01,153.6,0.14
CD18,2019-06-01,136.9,1.16
CD140,2019-12-01,153.3,0.81
CD134,2016-10-01,102.5,0.17
CD13,2014-11-01,158.3,1.76
CD42,2017-04-01,110.7,1.91
CD134,2014-02-01,113.1,1.71
CD56,2017-02-01,106.3,0.79
CD140,2018-11-01,112.0,0.2
CD141,2016-10-01,119.2,0.38
CD102,2020-12-01,141.8,1.73
CD36,2013-02-01,113.9,0.76
CD24,2019-06-01,143.1,1.83
CD126,2014-04-01,128.8,1.0
CD58,2015-09-01,143.2,0.87
