Month-year,CommodityID,Production weight (in million tonnes),Labour_availability,Govt_policy_change,Demand,Cost of production,Climatic factor 1,Climatic factor 2,Maximum price per kg,Minimum support price (in Rs./Quintal)
2020-10-01,CD36,61.54,Low,Yes,Very-low,89195.0,0,1,5492.0,4557
2012-11-01,CD127,43.68,Moderate,No,Low,23374.0,1,1,376.0,8679
2012-02-01,CD32,58.01,Abundant,Yes,High,28159.0,1,0,5398.0,5280
2013-05-01,CD73,82.95,Abundant,No,Long-run,58397.0,0,0,2471.0,4559
2016-06-01,CD92,36.52,Moderate,Yes,Low,50706.0,1,1,4635.0,6223
2019-03-01,CD86,60.03,Abundant,No,Short-run,88365.0,0,1,2310.0,4187
2015-04-01,CD109,28.43,Abundant,Yes,High,80541.0,0,1,3088.0,5591
2015-01-01,CD38,15.33,Moderate,Yes,Long-run,42958.0,0,1,2478.0,6182
2012-08-01,CD81,70.83,Abundant,Yes,High,46181.0,0,1,149.0,2964
2018-04-01,CD56,70.17,Moderate,Yes,Long-run,66962.0,1,0,3014.0,5025
2016-01-01,CD133,23.78,Low,Yes,High,78251.0,0,0,4350.0,6950
2018-05-01,CD65,99.14,Moderate,Yes,Very-low,73866.0,0,1,4197.0,6352
2015-04-01,CD141,84.45,Moderate,No,Very-low,44354.0,1,1,4362.0,1831
2013-04-01,CD126,15.12,Moderate,No,High,81340.0,1,0,2748.0,8157
2016-08-01,CD66,95.15,Moderate,No,Low,24052.0,1,1,2473.0,2339
2016-01-01,CD42,81.7,Low,Yes,Low,84884.0,1,1,839.0,4951
2012-02-01,CD125,40.25,Moderate,Yes,Low,86237.0,0,0,4063.0,3090
2017-06-01,CD56,30.68,Low,No,Low,30768.0,0,1,5139.0,3957
2016-02-01,CD18,59.86,Low,No,High,84976.0,1,0,4447.0,5986
2016-01-01,CD43,45.07,Moderate,No,Low,6393.0,1,0,1993.0,4997
2015-12-01,CD19,36.7,Abundant,No,High,52282.0,1,1,1779.0,8537
2016-04-01,CD83,86.39,Moderate,No,Long-run,62549.0,0,1,2870.0,5456
2013-07-01,CD2,56.71,Abundant,Yes,Long-run,83917.0,0,0,506.0,4162
2016-09-01,CD13,65.73,Low,No,Very-low,13872.0,1,1,140.0,3166
2015-10-01,CD52,88.37,Abundant,No,High,49980.0,1,0,5398.0,1794
2012-06-01,CD135,93.87,Low,Yes,High,67252.0,1,1,3887.0,1466
2012-01-01,CD72,37.34,Abundant,Yes,Long-run,28153.0,1,0,2687.0,7959
2012-02-01,CD95,85.75,Low,No,Short-run,20661.0,0,1,2387.0,3654
2020-10-01,CD73,36.04,Low,Yes,Very-low,77529.0,0,1,4809.0,5411
2012-02-01,CD11,1.17,Abundant,No,Long-run,13186.0,1,1,5598.0,4473
2017-12-01,CD1,14.03,Low,Yes,Short-run,83478.0,0,0,1161.0,2099
2013-12-01,CD140,38.36,Moderate,No,Short-run,88573.0,1,0,4060.0,4481
2017-01-01,CD36,77.63,Abundant,No,Low,4656.0,1,0,497.0,5866
2019-11-01,CD125,24.33,Moderate,Yes,High,63655.0,0,0,774.0,8618
2014-06-01,CD96,24.73,Abundant,No,Low,51053.0,0,1,584.0,8017
2019-07-01,CD71,77.59,Moderate,Yes,Long-run,79304.0,1,0,5450.0,7566
2018-05-01,CD72,79.61,Low,Yes,Long-run,9590.0,0,0,3237.0,7304
2016-09-01,CD30,30.28,Moderate,Yes,High,86493.0,1,1,1074.0,8690
2012-10-01,CD133,29.34,Abundant,Yes,High,48510.0,1,0,2146.0,6578
2012-11-01,CD56,65.89,Moderate,Yes,Long-run,79021.0,0,1,5122.0,1346
2020-04-01,CD9,15.31,Abundant,Yes,Long-run,90731.0,1,0,3165.0,3147
2016-09-01,CD13,32.0,Low,No,Long-run,31471.0,0,0,1316.0,3521
2019-12-01,CD29,63.55,Moderate,Yes,High,82194.0,1,0,5239.0,5060
2013-08-01,CD41,80.23,Low,Yes,High,17856.0,1,0,1673.0,5773
2015-03-01,CD100,70.38,Moderate,No,Short-run,30407.0,0,1,1921.0,7619
2013-09-01,CD3,82.16,Abundant,No,Very-low,65283.0,0,0,4464.0,6379
2014-09-01,CD81,43.55,Low,No,High,64663.0,1,1,3983.0,8949
2017-03-01,CD136,96.8,Low,No,Long-run,77983.0,0,1,2599.0,5155
2018-12-01,CD140,36.8,Moderate,Yes,Long-run,27635.0,0,0,215.0,8819
2018-06-01,CD67,30.52,Moderate,Yes,Long-run,18684.0,1,0,2228.0,1665
2014-11-01,CD3,16.7,Moderate,No,Short-run,45134.0,1,0,5359.0,2996
2014-09-01,CD7,18.33,Low,Yes,High,51489.0,0,1,1751.0,1811
2015-06-01,CD68,93.98,Abundant,No,High,46615.0,0,0,923.0,4354
2017-11-01,CD84,42.34,Abundant,No,High,73445.0,1,1,1137.0,4992
2015-10-01,CD71,30.54,Low,No,Long-run,57167.0,1,0,2566.0,3058
2013-02-01,CD22,86.16,Low,Yes,Very-low,12209.0,1,0,4170.0,3033
2018-02-01,CD27,77.33,Low,Yes,High,7833.0,1,1,226.0,7309
2013-06-01,CD100,83.3,Abundant,Yes,Short-run,35483.0,0,0,4621.0,8924
2015-10-01,CD105,15.41,Abundant,Yes,Very-low,92042.0,1,1,1246.0,5580
2013-08-01,CD106,16.42,Low,No,Short-run,84803.0,0,0,364.0,5256
2020-05-01,CD140,82.66,Low,No,Short-run,73887.0,0,0,2783.0,7759
2017-06-01,CD111,72.01,Abundant,Yes,Low,51020.0,0,0,2303.0,5715
2015-05-01,CD130,47.83,Moderate,Yes,Long-run,47498.0,1,0,3988.0,4072
2018-11-01,CD71,34.04,Abundant,Yes,High,28979.0,0,1,755.0,1596
2014-09-01,CD45,18.04,Moderate,Yes,Low,48219.0,0,1,787.0,2872
2019-04-01,CD142,52.15,Moderate,No,Very-low,21540.0,0,0,965.0,1617
2020-09-01,CD117,74.12,Low,Yes,Low,38960.0,1,1,4893.0,5206
2014-03-01,CD49,98.64,Abundant,Yes,Long-run,30490.0,1,1,3359.0,5842
2017-06-01,CD104,75.76,Abundant,No,Short-run,71423.0,0,0,5277.0,3053
2016-05-01,CD5,29.27,Low,No,Short-run,38124.0,0,0,4195.0,4870
2020-08-01,CD35,40.84,Low,Yes,Very-low,91778.0,1,1,4603.0,6875
2018-03-01,CD142,6.28,Moderate,Yes,High,36635.0,0,0,2078.0,4520
2014-04-01,CD26,2.25,Low,Yes,Very-low,84608.0,0,0,2862.0,2194
2017-02-01,CD141,86.84,Moderate,Yes,Long-run,8041.0,1,0,3870.0,1442
2020-09-01,CD139,71.55,Moderate,No,Long-run,41419.0,0,1,2018.0,7587
2017-08-01,CD61,70.55,Abundant,Yes,Long-run,17964.0,1,0,2558.0,2871
2016-03-01,CD104,84.56,Moderate,No,High,34789.0,0,1,4797.0,3564
2016-05-01,CD30,56.72,Moderate,No,Long-run,92836.0,1,0,4768.0,3895
2014-10-01,CD138,90.65,Abundant,Yes,Short-run,55833.0,0,1,4890.0,5537
2012-05-01,CD127,57.4,Low,Yes,Short-run,14143.0,1,1,3861.0,3055
2020-05-01,CD85,35.86,Moderate,Yes,Long-run,52624.0,0,0,3672.0,1996
2019-12-01,CD78,48.78,Abundant,No,Low,74187.0,1,1,3326.0,3112
2012-06-01,CD137,94.62,Abundant,No,Low,35111.0,0,0,2337.0,5935
2020-05-01,CD10,9.95,Abundant,No,High,67184.0,1,1,1074.0,3881
2018-01-01,CD4,7.22,Abundant,Yes,Very-low,34815.0,0,1,4074.0,2762
2013-04-01,CD141,23.72,Low,Yes,Low,41354.0,1,0,869.0,5986
2015-04-01,CD90,45.25,Moderate,No,Very-low,62745.0,1,1,4884.0,2109
2019-11-01,CD9,54.23,Abundant,Yes,Long-run,12336.0,1,1,1446.0,3356
2012-06-01,CD71,12.24,Low,No,Low,9737.0,1,0,296.0,8789
2020-03-01,CD48,19.55,Low,No,Long-run,13250.0,0,0,4905.0,4391
2019-05-01,CD38,9.61,Moderate,No,Low,85443.0,0,1,4166.0,3268
2018-06-01,CD61,23.03,Abundant,Yes,Very-low,59630.0,0,0,4599.0,5273
2017-03-01,CD106,84.9,Abundant,Yes,Long-run,14450.0,0,1,1412.0,1703
2020-05-01,CD84,59.3,Moderate,Yes,Long-run,56403.0,0,1,2849.0,4247
2016-02-01,CD20,95.25,Moderate,No,Short-run,53205.0,1,0,4406.0,8033
2012-04-01,CD13,24.07,Moderate,No,Very-low,34564.0,1,0,3751.0,6648
2013-09-01,CD30,86.63,Low,Yes,Long-run,53884.0,0,0,2220.0,7737
2017-04-01,CD50,43.87,Abundant,No,Long-run,73424.0,1,1,3964.0,3755
2018-07-01,CD57,46.98,Moderate,No,High,63421.0,0,0,4370.0,7114
2018-07-01,CD1,97.09,Low,Yes,Long-run,48397.0,1,1,4829.0,8973
2018-09-01,CD28,45.33,Abundant,Yes,Very-low,30800.0,1,0,4349.0,5389
2020-05-01,CD58,28.82,Moderate,Yes,Low,87863.0,0,0,4302.0,4939
2014-03-01,CD133,22.64,Abundant,No,Long-run,71841.0,0,1,3959.0,4178
2014-09-01,CD51,37.88,Abundant,No,Low,11770.0,0,1,4094.0,4388
2019-06-01,CD61,99.93,Moderate,Yes,High,14033.0,1,0,3105.0,4118
2017-05-01,CD118,36.29,Low,No,Very-low,79497.0,0,0,2934.0,3706
2015-07-01,CD8,83.4,Low,Yes,High,64932.0,0,0,5382.0,7085
2012-07-01,CD75,40.58,Abundant,No,Short-run,76641.0,1,0,4114.0,6114
2014-05-01,CD36,15.41,Abundant,Yes,Very-low,92609.0,1,1,5300.0,5001
2017-05-01,CD123,21.31,Abundant,Yes,Long-run,62219.0,1,0,1177.0,6424
2014-09-01,CD111,60.7,Abundant,Yes,Long-run,10712.0,0,0,5535.0,7959
2020-06-01,CD117,16.57,Low,No,Long-run,68674.0,1,0,429.0,2727
2015-09-01,CD42,77.66,Moderate,Yes,Low,67734.0,0,1,2087.0,3879
2013-08-01,CD104,0.39,Abundant,No,Short-run,24253.0,1,1,3765.0,3922
2013-04-01,CD110,33.36,Moderate,No,Low,61227.0,1,0,856.0,3340
2012-04-01,CD25,50.84,Abundant,No,Low,12455.0,0,1,410.0,7253
2017-01-01,CD138,55.61,Moderate,Yes,Low,14344.0,0,1,1381.0,3334
2014-11-01,CD105,7.02,Abundant,No,Very-low,12592.0,1,0,136.0,8273
2012-03-01,CD73,7.56,Low,No,Very-low,45296.0,0,0,603.0,6973
2016-07-01,CD109,7.33,Abundant,Yes,Low,91556.0,1,1,3239.0,8247
2018-04-01,CD129,22.33,Abundant,Yes,Short-run,62652.0,1,0,2901.0,4261
2020-10-01,CD136,31.22,Moderate,Yes,Long-run,57046.0,0,1,2735.0,2081
2013-11-01,CD102,84.44,Moderate,Yes,Low,5012.0,0,1,4716.0,1777
2019-11-01,CD129,94.32,Low,Yes,Short-run,57808.0,0,1,3734.0,6303
2014-09-01,CD27,68.09,Abundant,Yes,Low,49652.0,0,0,3181.0,7581
2018-04-01,CD75,46.69,Low,No,High,4430.0,0,0,5422.0,4608
2017-01-01,CD60,57.26,Abundant,Yes,High,36917.0,0,0,682.0,3072
2017-03-01,CD52,61.63,Abundant,No,Very-low,70330.0,0,0,1615.0,2137
2014-05-01,CD124,16.27,Low,Yes,Low,3668.0,1,0,1969.0,7908
2012-12-01,CD37,62.16,Abundant,Yes,Very-low,9898.0,1,1,3963.0,6564
2013-11-01,CD119,49.37,Low,No,High,69000.0,1,1,2609.0,4483
2020-07-01,CD26,68.87,Low,No,Low,83145.0,1,0,2296.0,6476
2016-11-01,CD3,59.04,Low,Yes,High,33932.0,1,1,5033.0,3022
2014-07-01,CD19,70.1,Abundant,Yes,Long-run,30357.0,0,1,3836.0,8571
2015-11-01,CD138,87.13,Abundant,Yes,Long-run,84270.0,0,1,161.0,5236
2013-06-01,CD12,61.36,Moderate,Yes,Very-low,65048.0,0,1,1074.0,6308
2019-05-01,CD100,13.68,Moderate,Yes,High,81417.0,1,0,4848.0,3705
2015-12-01,CD63,74.53,Moderate,No,Low,23997.0,1,0,2911.0,7304
2017-03-01,CD65,72.3,Moderate,No,Low,48334.0,0,1,1914.0,3482
2016-10-01,CD95,10.6,Abundant,No,High,79426.0,0,0,2007.0,2333
2013-07-01,CD54,52.75,Moderate,No,Very-low,66033.0,0,1,3937.0,6421
2014-03-01,CD108,88.49,Low,No,Very-low,54014.0,0,0,55.0,4539
2017-07-01,CD3,47.74,Low,No,Short-run,71245.0,1,0,2250.0,3222
2018-11-01,CD13,71.77,Moderate,No,Short-run,61711.0,0,1,5588.0,8793
2016-10-01,CD58,48.9,Abundant,Yes,High,27957.0,0,1,4349.0,3703
2017-03-01,CD19,88.73,Abundant,No,Low,21723.0,0,1,4080.0,3668
2019-04-01,CD47,71.14,Abundant,Yes,Low,84168.0,0,0,5013.0,8490
2016-09-01,CD5,55.39,Moderate,No,Low,21896.0,0,1,1995.0,5924
2017-12-01,CD18,28.83,Abundant,Yes,High,47168.0,0,1,2518.0,4781
2013-06-01,CD15,93.74,Abundant,No,Low,19242.0,0,0,3511.0,5533
2017-11-01,CD20,28.06,Moderate,Yes,Long-run,54370.0,1,1,3718.0,8407
2019-07-01,CD17,47.31,Moderate,No,High,53782.0,0,1,1832.0,2198
2020-06-01,CD110,41.18,Low,No,Very-low,90447.0,1,0,3146.0,6209
2020-02-01,CD16,35.05,Abundant,Yes,Very-low,48828.0,1,1,5581.0,2308
2012-09-01,CD134,67.25,Moderate,No,Low,84054.0,0,0,3530.0,7764
2013-10-01,CD37,15.42,Moderate,Yes,Short-run,26175.0,0,0,1609.0,1905
2020-09-01,CD138,76.04,Moderate,Yes,High,15525.0,1,0,1457.0,2316
2019-07-01,CD7,69.7,Low,Yes,Short-run,9368.0,0,1,4484.0,7964
2018-01-01,CD81,83.86,Abundant,Yes,High,85253.0,0,1,3142.0,1587
2019-05-01,CD61,70.48,Low,No,High,83435.0,1,1,1547.0,2102
2015-08-01,CD87,65.94,Abundant,No,Short-run,14128.0,0,0,4031.0,7814
2020-12-01,CD129,25.41,Abundant,No,Very-low,77065.0,1,0,2639.0,6396
2015-11-01,CD104,78.25,Abundant,Yes,Low,87831.0,0,0,2090.0,6959
2016-02-01,CD110,83.52,Abundant,Yes,Long-run,2495.0,0,1,2456.0,8732
2015-12-01,CD64,36.55,Abundant,Yes,High,22499.0,1,0,4939.0,6202
2014-11-01,CD46,10.34,Moderate,No,Low,54328.0,0,1,4571.0,2966
2019-07-01,CD79,23.56,Abundant,Yes,Short-run,20779.0,0,0,3193.0,2954
2017-08-01,CD93,29.41,Low,Yes,Very-low,22439.0,0,0,2978.0,2112
2015-05-01,CD68,66.21,Low,No,High,58446.0,1,1,2352.0,6008
2016-01-01,CD142,49.13,Moderate,Yes,High,11587.0,1,0,1218.0,6321
2018-11-01,CD62,1.99,Moderate,No,Very-low,69192.0,1,1,2728.0,5433
2015-03-01,CD132,10.15,Low,No,Very-low,29689.0,0,1,1504.0,1363
2015-03-01,CD25,64.06,Abundant,Yes,Short-run,33282.0,1,1,2129.0,5825
2020-07-01,CD15,54.77,Low,No,Long-run,30623.0,0,0,1968.0,1525
2015-07-01,CD65,41.43,Low,Yes,High,71630.0,1,1,1203.0,3404
2013-10-01,CD72,89.68,Abundant,Yes,Long-run,70897.0,0,0,4841.0,6701
2018-12-01,CD93,48.21,Low,Yes,Very-low,85666.0,0,1,3458.0,2549
2014-04-01,CD16,90.05,Moderate,Yes,High,55555.0,0,0,3951.0,5152
2014-08-01,CD19,38.96,Moderate,Yes,Low,11653.0,0,0,339.0,5088
2012-03-01,CD82,49.56,Low,Yes,Long-run,17757.0,0,1,1380.0,3493
2019-05-01,CD4,44.69,Moderate,No,Short-run,19348.0,0,1,3432.0,5243
2013-05-01,CD92,38.96,Low,Yes,Short-run,59658.0,0,1,235.0,5007
2016-02-01,CD97,9.61,Moderate,Yes,Very-low,87193.0,1,1,1597.0,6793
2012-07-01,CD67,18.04,Moderate,Yes,Long-run,59246.0,0,0,499.0,2883
2015-04-01,CD51,65.8,Abundant,Yes,Low,52753.0,1,1,716.0,3942
2015-03-01,CD108,34.12,Low,No,Long-run,61208.0,0,1,2284.0,1618
2012-12-01,CD22,5.9,Moderate,Yes,Very-low,50774.0,0,1,1893.0,1348
2013-09-01,CD126,37.15,Moderate,Yes,High,37166.0,1,0,3690.0,8600
2017-02-01,CD85,71.78,Low,Yes,High,43559.0,1,1,4271.0,6652
2017-10-01,CD7,8.41,Abundant,No,Low,69949.0,0,1,1409.0,8546
2015-07-01,CD7,31.92,Low,No,Long-run,73107.0,1,1,836.0,3277
2015-11-01,CD105,2.5,Low,Yes,Long-run,35640.0,0,1,1922.0,7254
2013-05-01,CD16,25.02,Moderate,Yes,Very-low,28944.0,0,0,1689.0,5414
2017-06-01,CD93,3.64,Abundant,No,Long-run,61456.0,1,0,420.0,6537
2015-12-01,CD25,49.95,Abundant,No,High,73287.0,0,1,2968.0,4445
2015-09-01,CD57,54.12,Low,Yes,Very-low,1557.0,0,1,1025.0,4506
2016-11-01,CD8,76.7,Low,No,Short-run,47685.0,0,0,2405.0,5839
2013-11-01,CD132,39.47,Abundant,No,Low,33471.0,1,0,203.0,6824
2014-07-01,CD99,23.04,Moderate,No,Long-run,55544.0,1,0,1392.0,1967
2020-04-01,CD54,50.48,Moderate,No,Short-run,23989.0,1,0,3332.0,3480
2019-06-01,CD128,8.09,Low,No,Low,71169.0,0,0,4648.0,5164
2013-05-01,CD48,78.8,Low,No,Low,40076.0,0,0,3533.0,2983
2012-06-01,CD39,83.58,Low,Yes,Long-run,30993.0,1,1,383.0,6389
2020-11-01,CD82,78.73,Low,Yes,Long-run,48374.0,1,0,432.0,6106
2020-06-01,CD20,47.14,Moderate,Yes,Short-run,44530.0,1,1,129.0,1467
2020-10-01,CD111,99.52,Abundant,Yes,High,12083.0,1,0,3535.0,2991
2018-07-01,CD75,11.44,Low,Yes,Long-run,52778.0,0,1,3546.0,6470
2019-09-01,CD15,43.55,Abundant,No,Long-run,17702.0,0,0,1537.0,6228
2018-09-01,CD43,86.1,Low,Yes,Very-low,64191.0,0,1,4573.0,7364
2017-12-01,CD50,37.58,Low,No,Very-low,83113.0,0,1,2334.0,8201
2012-05-01,CD53,35.85,Low,No,Low,34110.0,1,1,101.0,7038
2018-10-01,CD59,43.95,Low,Yes,Very-low,51525.0,0,0,2125.0,7402
2014-03-01,CD90,33.94,Low,No,Long-run,81189.0,1,1,936.0,6789
2015-06-01,CD89,93.17,Moderate,No,Long-run,16533.0,0,0,5597.0,2630
2013-12-01,CD56,80.4,Moderate,Yes,Low,67418.0,0,0,5542.0,2948
2019-03-01,CD78,57.91,Moderate,Yes,Very-low,2197.0,1,0,1728.0,8772
2016-09-01,CD46,41.47,Moderate,Yes,Low,68289.0,0,0,2114.0,8769
2019-01-01,CD108,12.32,Moderate,Yes,Very-low,58864.0,1,1,2081.0,6641
2017-09-01,CD47,5.17,Low,Yes,Low,47033.0,1,1,2802.0,3953
2016-04-01,CD9,0.55,Low,Yes,Very-low,12396.0,1,0,1291.0,3826
2013-03-01,CD17,71.06,Low,No,Low,56382.0,1,0,2514.0,6900
2018-12-01,CD100,24.72,Abundant,No,Long-run,87255.0,0,1,3210.0,6092
2020-02-01,CD24,54.6,Low,No,Very-low,77176.0,1,0,5425.0,4699
2014-11-01,CD93,80.71,Abundant,No,Low,71479.0,0,0,3241.0,6178
2016-12-01,CD47,43.27,Low,No,Long-run,40132.0,0,0,4397.0,4533
2017-03-01,CD29,35.88,Low,No,Very-low,40096.0,1,1,5078.0,3464
2012-03-01,CD19,35.0,Abundant,No,Short-run,81099.0,1,1,977.0,4533
2014-11-01,CD46,52.18,Low,No,Low,24883.0,0,0,2855.0,2781
2019-10-01,CD65,79.82,Abundant,Yes,Short-run,14942.0,0,1,5475.0,5963
2018-03-01,CD5,61.14,Low,No,Low,68682.0,1,0,2042.0,8275
2014-04-01,CD138,42.86,Low,Yes,Short-run,89669.0,1,0,2912.0,4508
2014-07-01,CD118,76.67,Moderate,Yes,Long-run,33349.0,1,1,1562.0,4962
2015-05-01,CD50,49.46,Abundant,Yes,Long-run,92775.0,0,1,1884.0,7627
2013-10-01,CD117,56.92,Low,Yes,Low,30286.0,0,0,995.0,7372
2017-09-01,CD57,53.36,Moderate,Yes,Low,79135.0,1,1,4522.0,2524
2020-06-01,CD86,56.18,Abundant,Yes,High,9033.0,1,0,2840.0,8381
2017-12-01,CD65,69.6,Abundant,No,Short-run,77847.0,1,0,229.0,8618
2014-04-01,CD119,17.43,Moderate,No,Short-run,73872.0,1,1,3722.0,2286
2016-07-01,CD137,95.31,Abundant,Yes,Very-low,76508.0,1,1,2006.0,2769
2017-04-01,CD57,39.25,Moderate,Yes,High,57334.0,0,1,4046.0,7405
2019-03-01,CD110,66.13,Moderate,No,Low,10824.0,1,0,962.0,3122
2020-05-01,CD79,75.54,Moderate,No,Very-low,86110.0,0,1,1713.0,4876
2016-11-01,CD28,19.36,Abundant,No,Short-run,78725.0,1,0,1461.0,6926
2015-01-01,CD15,2.84,Abundant,Yes,High,89838.0,0,0,3154.0,1965
2018-03-01,CD40,11.51,Moderate,Yes,Short-run,20997.0,0,1,852.0,6012
2020-11-01,CD32,53.07,Moderate,Yes,Short-run,29028.0,1,0,1890.0,7644
2017-04-01,CD59,72.53,Moderate,Yes,Long-run,7311.0,0,0,5540.0,5578
2012-06-01,CD49,94.78,Abundant,Yes,Low,22789.0,1,1,554.0,2104
2016-08-01,CD89,45.68,Low,Yes,Very-low,10255.0,0,0,135.0,2035
2014-10-01,CD128,30.07,Abundant,No,Short-run,9182.0,0,1,502.0,2479
2014-12-01,CD131,32.97,Moderate,No,Long-run,31160.0,1,1,1545.0,1516
2013-11-01,CD60,75.78,Moderate,Yes,Very-low,33174.0,1,1,1773.0,6292
2019-12-01,CD13,31.85,Low,Yes,Very-low,17152.0,1,0,4084.0,4916
2012-10-01,CD119,34.5,Low,Yes,High,12988.0,1,1,1489.0,5231
2015-12-01,CD117,88.3,Low,No,Short-run,13450.0,1,1,3394.0,3235
2012-08-01,CD24,57.83,Moderate,Yes,Short-run,34446.0,1,0,4113.0,5540
2017-09-01,CD118,94.46,Moderate,No,Short-run,74259.0,1,1,3985.0,2775
2013-07-01,CD105,58.75,Abundant,Yes,Short-run,36236.0,0,1,4225.0,7813
2016-03-01,CD114,93.7,Moderate,No,Long-run,24558.0,1,0,2342.0,3693
2019-03-01,CD19,31.63,Moderate,Yes,Long-run,71424.0,1,1,1478.0,1617
2020-01-01,CD92,36.42,Moderate,No,Long-run,48752.0,1,0,277.0,4101
2018-10-01,CD85,88.36,Low,Yes,High,86178.0,0,0,2112.0,3240
2012-09-01,CD98,66.27,Abundant,Yes,Very-low,20022.0,0,0,1014.0,5717
2012-09-01,CD43,42.28,Moderate,Yes,Long-run,23560.0,0,1,4160.0,3576
2015-02-01,CD81,72.33,Moderate,No,Long-run,67581.0,0,1,1798.0,6385
2014-12-01,CD73,56.01,Low,No,Long-run,48398.0,0,0,1556.0,8630
2013-01-01,CD21,65.84,Abundant,No,Low,6610.0,0,1,2937.0,6098
2015-01-01,CD72,48.71,Abundant,Yes,High,45495.0,0,1,702.0,3585
2014-03-01,CD116,30.49,Abundant,No,Low,36500.0,1,0,3212.0,5330
2018-05-01,CD100,12.12,Abundant,No,Very-low,63790.0,0,1,252.0,1478
2019-10-01,CD115,38.31,Low,Yes,Short-run,37720.0,1,1,1805.0,4205
2019-05-01,CD136,43.88,Moderate,Yes,Low,64507.0,1,1,921.0,6639
2016-01-01,CD46,74.33,Moderate,Yes,Short-run,52792.0,0,1,3188.0,6338
2017-11-01,CD58,29.19,Low,Yes,Very-low,13049.0,0,1,5313.0,6004
2020-11-01,CD126,97.72,Moderate,Yes,Low,31878.0,1,1,385.0,7227
2017-02-01,CD84,38.0,Moderate,Yes,Low,64021.0,1,1,528.0,5647
2012-03-01,CD11,2.42,Abundant,No,Long-run,63987.0,1,0,673.0,7755
2020-08-01,CD94,10.89,Low,Yes,Long-run,44502.0,1,0,3243.0,4626
2012-05-01,CD100,46.41,Abundant,No,Short-run,79015.0,0,0,4394.0,6946
2015-08-01,CD73,39.78,Moderate,No,Long-run,74626.0,0,0,638.0,4551
2019-02-01,CD130,22.19,Moderate,No,Very-low,19831.0,1,1,941.0,2242
2016-11-01,CD126,61.29,Abundant,Yes,Very-low,49651.0,0,1,701.0,5964
2014-09-01,CD77,9.92,Abundant,No,Short-run,20897.0,0,1,3151.0,5412
2012-01-01,CD55,13.62,Low,No,Very-low,92312.0,1,0,2548.0,6367
2013-09-01,CD76,56.26,Moderate,Yes,High,30429.0,1,0,2189.0,3830
2013-07-01,CD124,58.51,Moderate,Yes,Short-run,68900.0,1,1,2558.0,1916
2013-01-01,CD1,40.57,Moderate,No,Short-run,86582.0,0,1,5114.0,7060
2012-09-01,CD74,94.71,Abundant,Yes,Very-low,53676.0,1,0,2069.0,7907
2016-02-01,CD21,70.41,Low,No,Low,74413.0,0,1,4392.0,3363
2014-05-01,CD23,50.32,Low,No,Long-run,50100.0,1,0,4294.0,2236
2012-03-01,CD69,57.66,Moderate,Yes,Short-run,66639.0,0,0,1748.0,2900
2016-04-01,CD125,66.91,Abundant,No,Low,70491.0,0,1,4908.0,1460
2020-09-01,CD42,64.9,Low,Yes,Short-run,71444.0,0,0,3619.0,7692
2015-04-01,CD59,39.78,Abundant,No,Short-run,7049.0,0,1,2066.0,2453
2017-10-01,CD14,6.48,Abundant,No,Long-run,56256.0,0,1,3088.0,4870
2017-12-01,CD62,3.69,Low,Yes,Short-run,72090.0,1,0,1863.0,3490
2013-05-01,CD30,70.88,Abundant,No,Very-low,9236.0,1,0,5579.0,6775
2020-01-01,CD43,53.61,Moderate,Yes,Long-run,856.0,0,1,3760.0,6684
2014-03-01,CD78,21.68,Moderate,No,Long-run,52670.0,0,1,3854.0,4905
2020-05-01,CD60,26.03,Moderate,Yes,Low,35061.0,1,1,3397.0,1799
2018-11-01,CD39,14.87,Low,Yes,High,25688.0,1,0,799.0,5452
2012-10-01,CD15,40.45,Abundant,Yes,Short-run,49959.0,0,0,1127.0,6351
2020-09-01,CD93,98.99,Low,Yes,High,43270.0,0,0,4842.0,3064
2015-11-01,CD14,67.87,Moderate,Yes,Short-run,90256.0,1,1,1486.0,5567
2017-04-01,CD73,50.16,Low,No,Very-low,39060.0,0,0,2758.0,8328
2016-08-01,CD33,30.98,Low,Yes,Long-run,75491.0,0,1,2805.0,6957
2013-06-01,CD117,51.01,Abundant,Yes,Short-run,75780.0,1,0,2026.0,7502
2014-03-01,CD15,56.38,Abundant,No,High,57711.0,1,1,4818.0,6322
2016-07-01,CD93,56.94,Moderate,No,Very-low,88707.0,0,0,2356.0,1990
2020-01-01,CD106,46.6,Abundant,Yes,Long-run,54898.0,1,1,946.0,7673
2013-01-01,CD87,36.85,Low,Yes,Low,23196.0,0,1,2342.0,7768
2017-03-01,CD98,56.54,Abundant,Yes,Low,50742.0,0,0,3894.0,4212
2016-11-01,CD92,61.86,Abundant,Yes,Very-low,66003.0,1,0,2920.0,1750
2018-07-01,CD20,98.66,Moderate,No,Short-run,49881.0,1,1,484.0,5393
2017-03-01,CD124,11.05,Abundant,Yes,Very-low,72443.0,0,0,4681.0,3841
2016-01-01,CD117,54.83,Low,No,Low,28532.0,0,0,2068.0,4281
2014-01-01,CD3,14.7,Abundant,Yes,Short-run,1325.0,1,0,649.0,5281
2017-04-01,CD135,41.45,Low,Yes,Very-low,12813.0,1,0,252.0,1751
2020-09-01,CD129,59.05,Moderate,No,Very-low,76470.0,1,1,611.0,7866
2017-09-01,CD126,42.15,Low,Yes,Short-run,64437.0,0,1,2422.0,1596
